run,selected_i_step,selected_time,source_file,source_frame_index_1based,source_frame_index_0based,expected_i_step_if_stride2,natoms,xyz_block_first_line_1based,source_comment,init_xyz,init_data
traj_001,810,405.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,406,405,810,480,195211," i =      810, time =      405.000, E =     -2757.3736652526",D:\NNMD_40x200ps\traj_001\init.xyz,D:\NNMD_40x200ps\traj_001\nnp-data\init.data
traj_002,2432,1216.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,1217,1216,2432,480,586113," i =     2432, time =     1216.000, E =     -2757.3825795419",D:\NNMD_40x200ps\traj_002\init.xyz,D:\NNMD_40x200ps\traj_002\nnp-data\init.data
traj_003,4052,2026.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,2027,2026,4052,480,976533," i =     4052, time =     2026.000, E =     -2757.3671839070",D:\NNMD_40x200ps\traj_003\init.xyz,D:\NNMD_40x200ps\traj_003\nnp-data\init.data
traj_004,5674,2837.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,2838,2837,5674,480,1367435," i =     5674, time =     2837.000, E =     -2757.3571149518",D:\NNMD_40x200ps\traj_004\init.xyz,D:\NNMD_40x200ps\traj_004\nnp-data\init.data
traj_005,7296,3648.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,3649,3648,7296,480,1758337," i =     7296, time =     3648.000, E =     -2757.3745596142",D:\NNMD_40x200ps\traj_005\init.xyz,D:\NNMD_40x200ps\traj_005\nnp-data\init.data
traj_006,8918,4459.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,4460,4459,8918,480,2149239," i =     8918, time =     4459.000, E =     -2757.3660373940",D:\NNMD_40x200ps\traj_006\init.xyz,D:\NNMD_40x200ps\traj_006\nnp-data\init.data
traj_007,10538,5269.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,5270,5269,10538,480,2539659," i =    10538, time =     5269.000, E =     -2757.4316590459",D:\NNMD_40x200ps\traj_007\init.xyz,D:\NNMD_40x200ps\traj_007\nnp-data\init.data
traj_008,12160,6080.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,6081,6080,12160,480,2930561," i =    12160, time =     6080.000, E =     -2757.3714894193",D:\NNMD_40x200ps\traj_008\init.xyz,D:\NNMD_40x200ps\traj_008\nnp-data\init.data
traj_009,13782,6891.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,6892,6891,13782,480,3321463," i =    13782, time =     6891.000, E =     -2757.3888796049",D:\NNMD_40x200ps\traj_009\init.xyz,D:\NNMD_40x200ps\traj_009\nnp-data\init.data
traj_010,15404,7702.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,7703,7702,15404,480,3712365," i =    15404, time =     7702.000, E =     -2757.3885215620",D:\NNMD_40x200ps\traj_010\init.xyz,D:\NNMD_40x200ps\traj_010\nnp-data\init.data
traj_011,17024,8512.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,8513,8512,17024,480,4102785," i =    17024, time =     8512.000, E =     -2757.3970951751",D:\NNMD_40x200ps\traj_011\init.xyz,D:\NNMD_40x200ps\traj_011\nnp-data\init.data
traj_012,18646,9323.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,9324,9323,18646,480,4493687," i =    18646, time =     9323.000, E =     -2757.4010571081",D:\NNMD_40x200ps\traj_012\init.xyz,D:\NNMD_40x200ps\traj_012\nnp-data\init.data
traj_013,20268,10134.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,10135,10134,20268,480,4884589," i =    20268, time =    10134.000, E =     -2757.3866849013",D:\NNMD_40x200ps\traj_013\init.xyz,D:\NNMD_40x200ps\traj_013\nnp-data\init.data
traj_014,21890,10945.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,10946,10945,21890,480,5275491," i =    21890, time =    10945.000, E =     -2757.3755893409",D:\NNMD_40x200ps\traj_014\init.xyz,D:\NNMD_40x200ps\traj_014\nnp-data\init.data
traj_015,23510,11755.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,11756,11755,23510,480,5665911," i =    23510, time =    11755.000, E =     -2757.4111169932",D:\NNMD_40x200ps\traj_015\init.xyz,D:\NNMD_40x200ps\traj_015\nnp-data\init.data
traj_016,25132,12566.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,12567,12566,25132,480,6056813," i =    25132, time =    12566.000, E =     -2757.4095604886",D:\NNMD_40x200ps\traj_016\init.xyz,D:\NNMD_40x200ps\traj_016\nnp-data\init.data
traj_017,26754,13377.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,13378,13377,26754,480,6447715," i =    26754, time =    13377.000, E =     -2757.3910040264",D:\NNMD_40x200ps\traj_017\init.xyz,D:\NNMD_40x200ps\traj_017\nnp-data\init.data
traj_018,28376,14188.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,14189,14188,28376,480,6838617," i =    28376, time =    14188.000, E =     -2757.4039913538",D:\NNMD_40x200ps\traj_018\init.xyz,D:\NNMD_40x200ps\traj_018\nnp-data\init.data
traj_019,29996,14998.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,14999,14998,29996,480,7229037," i =    29996, time =    14998.000, E =     -2757.3881925325",D:\NNMD_40x200ps\traj_019\init.xyz,D:\NNMD_40x200ps\traj_019\nnp-data\init.data
traj_020,31618,15809.000,C:\Users\Administrator\Desktop\pos\pos-a.xyz,15810,15809,31618,480,7619939," i =    31618, time =    15809.000, E =     -2757.4211207674",D:\NNMD_40x200ps\traj_020\init.xyz,D:\NNMD_40x200ps\traj_020\nnp-data\init.data
traj_021,812,406.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,407,406,812,480,195693," i =      812, time =      406.000, E =     -2757.3568500769",D:\NNMD_40x200ps\traj_021\init.xyz,D:\NNMD_40x200ps\traj_021\nnp-data\init.data
traj_022,2438,1219.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,1220,1219,2438,480,587559," i =     2438, time =     1219.000, E =     -2757.3819883881",D:\NNMD_40x200ps\traj_022\init.xyz,D:\NNMD_40x200ps\traj_022\nnp-data\init.data
traj_023,4064,2032.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,2033,2032,4064,480,979425," i =     4064, time =     2032.000, E =     -2757.3465302040",D:\NNMD_40x200ps\traj_023\init.xyz,D:\NNMD_40x200ps\traj_023\nnp-data\init.data
traj_024,5688,2844.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,2845,2844,5688,480,1370809," i =     5688, time =     2844.000, E =     -2757.3635319831",D:\NNMD_40x200ps\traj_024\init.xyz,D:\NNMD_40x200ps\traj_024\nnp-data\init.data
traj_025,7314,3657.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,3658,3657,7314,480,1762675," i =     7314, time =     3657.000, E =     -2757.3499528687",D:\NNMD_40x200ps\traj_025\init.xyz,D:\NNMD_40x200ps\traj_025\nnp-data\init.data
traj_026,8940,4470.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,4471,4470,8940,480,2154541," i =     8940, time =     4470.000, E =     -2757.3910451578",D:\NNMD_40x200ps\traj_026\init.xyz,D:\NNMD_40x200ps\traj_026\nnp-data\init.data
traj_027,10566,5283.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,5284,5283,10566,480,2546407," i =    10566, time =     5283.000, E =     -2757.3647970158",D:\NNMD_40x200ps\traj_027\init.xyz,D:\NNMD_40x200ps\traj_027\nnp-data\init.data
traj_028,12192,6096.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,6097,6096,12192,480,2938273," i =    12192, time =     6096.000, E =     -2757.3727975378",D:\NNMD_40x200ps\traj_028\init.xyz,D:\NNMD_40x200ps\traj_028\nnp-data\init.data
traj_029,13816,6908.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,6909,6908,13816,480,3329657," i =    13816, time =     6908.000, E =     -2757.3646804898",D:\NNMD_40x200ps\traj_029\init.xyz,D:\NNMD_40x200ps\traj_029\nnp-data\init.data
traj_030,15442,7721.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,7722,7721,15442,480,3721523," i =    15442, time =     7721.000, E =     -2757.3555303106",D:\NNMD_40x200ps\traj_030\init.xyz,D:\NNMD_40x200ps\traj_030\nnp-data\init.data
traj_031,17068,8534.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,8535,8534,17068,480,4113389," i =    17068, time =     8534.000, E =     -2757.3592044487",D:\NNMD_40x200ps\traj_031\init.xyz,D:\NNMD_40x200ps\traj_031\nnp-data\init.data
traj_032,18694,9347.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,9348,9347,18694,480,4505255," i =    18694, time =     9347.000, E =     -2757.3561335484",D:\NNMD_40x200ps\traj_032\init.xyz,D:\NNMD_40x200ps\traj_032\nnp-data\init.data
traj_033,20320,10160.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,10161,10160,20320,480,4897121," i =    20320, time =    10160.000, E =     -2757.3587498824",D:\NNMD_40x200ps\traj_033\init.xyz,D:\NNMD_40x200ps\traj_033\nnp-data\init.data
traj_034,21944,10972.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,10973,10972,21944,480,5288505," i =    21944, time =    10972.000, E =     -2757.3557962738",D:\NNMD_40x200ps\traj_034\init.xyz,D:\NNMD_40x200ps\traj_034\nnp-data\init.data
traj_035,23570,11785.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,11786,11785,23570,480,5680371," i =    23570, time =    11785.000, E =     -2757.3700550570",D:\NNMD_40x200ps\traj_035\init.xyz,D:\NNMD_40x200ps\traj_035\nnp-data\init.data
traj_036,25196,12598.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,12599,12598,25196,480,6072237," i =    25196, time =    12598.000, E =     -2757.3648913845",D:\NNMD_40x200ps\traj_036\init.xyz,D:\NNMD_40x200ps\traj_036\nnp-data\init.data
traj_037,26822,13411.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,13412,13411,26822,480,6464103," i =    26822, time =    13411.000, E =     -2757.3846433109",D:\NNMD_40x200ps\traj_037\init.xyz,D:\NNMD_40x200ps\traj_037\nnp-data\init.data
traj_038,28448,14224.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,14225,14224,28448,480,6855969," i =    28448, time =    14224.000, E =     -2757.3381795536",D:\NNMD_40x200ps\traj_038\init.xyz,D:\NNMD_40x200ps\traj_038\nnp-data\init.data
traj_039,30072,15036.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,15037,15036,30072,480,7247353," i =    30072, time =    15036.000, E =     -2757.3439244727",D:\NNMD_40x200ps\traj_039\init.xyz,D:\NNMD_40x200ps\traj_039\nnp-data\init.data
traj_040,31698,15849.000,C:\Users\Administrator\Desktop\pos\pos-b.xyz,15850,15849,31698,480,7639219," i =    31698, time =    15849.000, E =     -2757.3376636573",D:\NNMD_40x200ps\traj_040\init.xyz,D:\NNMD_40x200ps\traj_040\nnp-data\init.data
